station_id,name,lat,lng,nearest_primary_corridor,assigned_primary_corridor,distance_to_primary_m,distance_to_any_2024_2025_candidate_m,assignment,overlapping_primary_corridors,overlap_has_different_completion_month,pre_months_observed,post_months_observed,stable_12_pre_12_post,possible_same_name_id_alias,primary_analysis_eligible
13300,DuSable Lake Shore Dr & Monroe St,41.880958,-87.616743,WABASH_ROOSEVELT_BALBOA_2024,WABASH_ROOSEVELT_BALBOA_2024,1158.8,1158.8,control_candidate,0,False,12,12,True,False,False
13022,Streeter Dr & Grand Ave,41.892278,-87.612043,CLARK_GRAND_OAK_2024,CLARK_GRAND_OAK_2024,1583.8,1583.8,control_candidate,0,False,12,10,False,False,False
KA1503000043,Kingsbury St & Kinzie St,41.88917683258,-87.6385057718,CLARK_GRAND_OAK_2024,CLARK_GRAND_OAK_2024,670.0,483.3,donut,0,False,12,12,True,False,False
13042,Michigan Ave & Oak St,41.90096039,-87.62377664,CLARK_GRAND_OAK_2024,CLARK_GRAND_OAK_2024,629.4,629.4,donut,0,False,12,12,True,False,False
LF-005,DuSable Lake Shore Dr & North Blvd,41.911722,-87.626804,CLARK_GRAND_OAK_2024,CLARK_GRAND_OAK_2024,1296.9,1296.9,control_candidate,0,False,12,12,True,False,False
TA1307000039,Clark St & Elm St,41.902973,-87.6313,CLARK_GRAND_OAK_2024,CLARK_GRAND_OAK_2024,269.6,269.6,treated,1,False,12,12,True,False,True
TA1308000050,Wells St & Concord Ln,41.912133,-87.634656,CLARK_GRAND_OAK_2024,CLARK_GRAND_OAK_2024,1315.6,1315.6,control_candidate,0,False,12,12,True,False,False
WL-012,Clinton St & Washington Blvd,41.88338,-87.64117,HALSTED_ROOSEVELT_VAN_BUREN_2024,HALSTED_ROOSEVELT_VAN_BUREN_2024,897.9,679.4,candidate_corridor_exclusion,0,False,12,12,True,False,False
13008,Millennium Park,41.8810317,-87.62408432,WABASH_ROOSEVELT_BALBOA_2024,WABASH_ROOSEVELT_BALBOA_2024,892.4,892.4,control_candidate,0,False,12,12,True,False,False
TA1305000032,Clinton St & Madison St,41.882751965685614,-87.64119029045105,HALSTED_ROOSEVELT_VAN_BUREN_2024,HALSTED_ROOSEVELT_VAN_BUREN_2024,839.8,743.6,candidate_corridor_exclusion,0,False,12,12,True,False,False
KA1504000135,Wells St & Elm St,41.903222,-87.634324,CLARK_GRAND_OAK_2024,CLARK_GRAND_OAK_2024,386.6,386.6,donut,0,False,12,12,True,False,False
TA1308000001,Theater on the Lake,41.926277,-87.630834,CLARK_GRAND_OAK_2024,CLARK_GRAND_OAK_2024,2857.4,2857.4,control_candidate,0,False,12,12,True,False,False
21544,State St & Chicago Ave,41.89661720040753,-87.62857854366302,CLARK_GRAND_OAK_2024,CLARK_GRAND_OAK_2024,220.7,220.7,treated,1,False,12,12,True,False,True
CHI01747,Navy Pier,41.892278,-87.612043,CLARK_GRAND_OAK_2024,CLARK_GRAND_OAK_2024,1583.8,1583.8,control_candidate,0,False,0,3,False,False,False
13341,Canal St & Madison St,41.882409,-87.639767,HALSTED_ROOSEVELT_VAN_BUREN_2024,HALSTED_ROOSEVELT_VAN_BUREN_2024,887.1,826.4,control_candidate,0,False,12,12,True,False,False
TA1306000012,Wells St & Huron St,41.894741058,-87.6343743,CLARK_GRAND_OAK_2024,CLARK_GRAND_OAK_2024,263.7,263.7,treated,1,False,12,12,True,False,True
13146,Clark St & Armitage Ave,41.918306,-87.636282,CLARK_GRAND_OAK_2024,CLARK_GRAND_OAK_2024,2014.1,2014.1,control_candidate,0,False,12,12,True,False,False
