first_post_month,control_pool,month,event_time,mean_log1p_trips,stations
2024-08,treated,2023-07,-13,6.986169,16
2024-08,treated,2023-08,-12,7.055653,16
2024-08,treated,2023-09,-11,6.864820,16
2024-08,treated,2023-10,-10,6.681235,16
2024-08,treated,2023-11,-9,6.293926,16
2024-08,treated,2023-12,-8,5.897077,16
2024-08,treated,2024-01,-7,5.421553,16
2024-08,treated,2024-02,-6,5.802846,16
2024-08,treated,2024-03,-5,6.213403,16
2024-08,treated,2024-04,-4,6.460268,16
2024-08,treated,2024-05,-3,6.785327,16
2024-08,treated,2024-06,-2,6.959782,16
2024-08,treated,2024-08,0,7.019421,16
2024-08,treated,2024-09,1,7.073218,16
2024-08,treated,2024-10,2,6.903368,16
2024-08,treated,2024-11,3,6.341696,16
2024-08,treated,2024-12,4,5.768102,16
2024-08,treated,2025-01,5,5.394042,16
2024-08,treated,2025-02,6,5.571633,16
2024-08,treated,2025-03,7,6.172020,16
2024-08,treated,2025-04,8,6.353894,16
2024-08,treated,2025-05,9,6.640580,16
2024-08,treated,2025-06,10,6.934168,16
2024-08,treated,2025-07,11,7.020881,16
2024-08,broad,2023-07,-13,5.497932,391
2024-08,broad,2023-08,-12,5.506301,391
2024-08,broad,2023-09,-11,5.386884,391
2024-08,broad,2023-10,-10,5.082541,391
2024-08,broad,2023-11,-9,4.734582,391
2024-08,broad,2023-12,-8,4.303512,391
2024-08,broad,2024-01,-7,3.867546,391
2024-08,broad,2024-02,-6,4.357108,391
2024-08,broad,2024-03,-5,4.587461,391
2024-08,broad,2024-04,-4,4.833216,391
2024-08,broad,2024-05,-3,5.269947,391
2024-08,broad,2024-06,-2,5.366689,391
2024-08,broad,2024-08,0,5.400193,391
2024-08,broad,2024-09,1,5.407595,391
2024-08,broad,2024-10,2,5.196674,391
2024-08,broad,2024-11,3,4.626877,391
2024-08,broad,2024-12,4,3.980515,391
2024-08,broad,2025-01,5,3.748890,391
2024-08,broad,2025-02,6,3.824893,391
2024-08,broad,2025-03,7,4.503470,391
2024-08,broad,2025-04,8,4.743596,391
2024-08,broad,2025-05,9,5.035626,391
2024-08,broad,2025-06,10,5.258352,391
2024-08,broad,2025-07,11,5.356480,391
2024-08,cohort_local,2023-07,-13,6.938097,82
2024-08,cohort_local,2023-08,-12,6.959678,82
2024-08,cohort_local,2023-09,-11,6.785915,82
2024-08,cohort_local,2023-10,-10,6.481389,82
2024-08,cohort_local,2023-11,-9,6.124961,82
2024-08,cohort_local,2023-12,-8,5.692931,82
2024-08,cohort_local,2024-01,-7,5.202745,82
2024-08,cohort_local,2024-02,-6,5.711510,82
2024-08,cohort_local,2024-03,-5,6.008121,82
2024-08,cohort_local,2024-04,-4,6.292005,82
2024-08,cohort_local,2024-05,-3,6.700783,82
2024-08,cohort_local,2024-06,-2,6.840014,82
2024-08,cohort_local,2024-08,0,6.890941,82
2024-08,cohort_local,2024-09,1,6.918211,82
2024-08,cohort_local,2024-10,2,6.663878,82
2024-08,cohort_local,2024-11,3,6.056685,82
2024-08,cohort_local,2024-12,4,5.435789,82
2024-08,cohort_local,2025-01,5,5.112006,82
2024-08,cohort_local,2025-02,6,5.224461,82
2024-08,cohort_local,2025-03,7,5.978407,82
2024-08,cohort_local,2025-04,8,6.166938,82
2024-08,cohort_local,2025-05,9,6.484489,82
2024-08,cohort_local,2025-06,10,6.764647,82
2024-08,cohort_local,2025-07,11,6.857047,82
2024-08,pre_period_matched,2023-07,-13,7.040594,48
2024-08,pre_period_matched,2023-08,-12,7.062142,48
2024-08,pre_period_matched,2023-09,-11,6.863311,48
2024-08,pre_period_matched,2023-10,-10,6.634906,48
2024-08,pre_period_matched,2023-11,-9,6.310123,48
2024-08,pre_period_matched,2023-12,-8,5.890125,48
2024-08,pre_period_matched,2024-01,-7,5.461404,48
2024-08,pre_period_matched,2024-02,-6,5.900988,48
2024-08,pre_period_matched,2024-03,-5,6.134706,48
2024-08,pre_period_matched,2024-04,-4,6.408239,48
2024-08,pre_period_matched,2024-05,-3,6.799700,48
2024-08,pre_period_matched,2024-06,-2,6.929450,48
2024-08,pre_period_matched,2024-08,0,6.986561,48
2024-08,pre_period_matched,2024-09,1,7.023711,48
2024-08,pre_period_matched,2024-10,2,6.804160,48
2024-08,pre_period_matched,2024-11,3,6.218382,48
2024-08,pre_period_matched,2024-12,4,5.612619,48
