first_post_month,control_pool,treated_stations,control_stations,pre_months,pre_level_gap_log_points,pretrend_gap_pct_points_per_month,pretrend_slope_pvalue_descriptive,centered_trajectory_rmse_log_points,trajectory_correlation,smd_pre_mean_log1p,smd_pre_slope_log1p,smd_pre_sd_log1p,smd_pre_member_share,max_abs_smd
2024-08,broad,16,391,12,1.552362,0.575992,0.266145,0.056968,0.993912,0.867369,0.170594,-0.189922,0.591938,0.867369
2024-08,cohort_local,16,82,12,0.140326,0.391689,0.462508,0.057576,0.996646,0.113704,0.157979,-0.131728,0.424039,0.424039
2024-08,pre_period_matched,16,48,12,-0.001136,0.379093,0.382594,0.047165,0.995826,-0.001193,0.185664,0.290718,0.368942,0.368942
2024-11,broad,1,403,12,-1.137220,-2.253761,0.173056,0.184856,0.929578,-0.640910,-0.428135,-0.752846,0.987820,0.987820
2024-11,cohort_local,1,22,12,-0.984218,-2.501043,0.141769,0.191703,0.909326,-0.617895,-0.699320,-0.843593,0.972712,0.972712
2024-11,pre_period_matched,1,3,12,-1.711879,1.109947,0.570336,0.210005,0.884406,-2.129915,0.859656,0.518949,0.248670,2.129915
2024-12,broad,5,408,12,2.024780,-1.674936,0.456759,0.243161,0.875793,1.130385,-0.313460,-0.684615,1.079965,1.130385
2024-12,cohort_local,5,43,12,0.452547,-2.642911,0.205205,0.231631,0.904958,0.541196,-0.741153,-0.585479,0.885765,0.885765
2024-12,pre_period_matched,5,15,12,0.128829,-0.195849,0.905008,0.174802,0.923293,0.247608,-0.098695,0.296942,1.133423,1.133423
2025-01,broad,18,406,12,1.343164,0.997521,0.283118,0.101987,0.980089,0.754520,0.199737,-0.268137,0.209763,0.754520
2025-01,cohort_local,18,106,12,0.606221,0.630270,0.432459,0.086887,0.985786,0.436810,0.170821,-0.030440,-0.019882,0.436810
2025-01,pre_period_matched,18,54,12,0.076588,0.120982,0.878417,0.084256,0.987313,0.065425,0.046403,-0.005601,0.032368,0.065425
