first_post_month,treated_station_id,control_station_id,feature_distance,match_rank,cohort_local_distance_m
2024-08,13045,KA1503000041,0.527707,1,1106.254237
2024-08,13045,TA1306000010,0.773435,2,828.333410
2024-08,13045,TA1305000006,0.906888,3,1151.115780
2024-08,13303,23001,0.241399,1,1657.748374
2024-08,13303,18062,0.440502,2,2020.312013
2024-08,13303,13136,0.483254,3,1384.811659
2024-08,13430,TA1305000003,0.277246,1,874.783496
2024-08,13430,TA1305000029,0.314167,2,823.360268
2024-08,13430,13001,0.457008,3,1001.832670
2024-08,15664,18003,0.426657,1,921.996266
2024-08,15664,KA1503000072,0.734022,2,1069.267002
2024-08,15664,KA1503000034,0.953437,3,1364.655435
2024-08,21544,13179,2.078226,1,1703.012025
2024-08,21544,TA1309000019,2.181102,2,2880.872494
2024-08,21544,13128,2.440247,3,1269.957362
2024-08,22001,13434,0.281537,1,854.319098
2024-08,22001,658,0.282150,2,1351.352192
2024-08,22001,TA1306000032,0.503834,3,2304.904780
2024-08,411,18069,0.843990,1,2145.493112
2024-08,411,18017,1.018748,2,2488.601787
2024-08,411,15655,1.445837,3,2089.015363
2024-08,643,20.0,0.650974,1,2383.524437
2024-08,643,13245,0.861053,2,1740.438794
2024-08,643,15650,0.865863,3,2534.542763
2024-08,855,370,2.964342,1,1423.444867
2024-08,855,20254.0,3.038879,2,2652.108763
2024-08,855,429,3.304503,3,2036.657936
2024-08,KP1705001026,TA1308000029,0.338523,1,902.872337
2024-08,KP1705001026,13058,0.369832,2,1867.936662
2024-08,KP1705001026,TA1309000006,0.450069,3,2202.448673
2024-08,TA1306000011,KA1504000079,0.371613,1,1048.286916
2024-08,TA1306000011,13191,0.478393,2,2480.910046
2024-08,TA1306000011,13192,0.525307,3,2595.875766
2024-08,TA1306000012,331,0.258839,1,1721.622358
2024-08,TA1306000012,TA1309000024,0.363495,2,827.077888
2024-08,TA1306000012,TA1305000030,0.596343,3,846.600276
2024-08,TA1307000039,TA1308000050,0.618323,1,1315.634945
2024-08,TA1307000039,13263,0.904852,2,1229.411701
2024-08,TA1307000039,TA1309000058,0.921185,3,2903.541730
2024-08,TA1307000061,657,0.341982,1,1007.391185
2024-08,TA1307000061,13154,0.363795,2,2117.799786
