event_time,reference_event_time,estimate_log_points,cluster_se_log_points,effect_percent,ci_low_percent,ci_high_percent,treated_stations,corridor_clusters
-13,-2,-0.006165,0.035390,-0.614644,-8.062245,7.436265,40,12
-12,-2,-0.042739,0.048278,-4.183870,-13.843034,6.558194,40,12
-11,-2,-0.035718,0.028243,-3.508751,-9.324238,2.679713,40,12
-10,-2,-0.013106,0.021891,-1.302037,-5.944737,3.569834,40,12
-9,-2,-0.019765,0.042579,-1.957071,-10.727928,7.675511,40,12
-8,-2,-0.056691,0.049892,-5.511387,-15.337974,5.455756,40,12
-7,-2,-0.102324,0.080807,-9.726309,-24.435160,7.845650,40,12
-6,-2,-0.177664,0.058847,-16.277672,-26.448667,-4.700188,40,12
-5,-2,-0.048578,0.053349,-4.741666,-15.295120,7.126651,40,12
-4,-2,0.049444,0.062266,5.068720,-8.387550,20.501481,40,12
-3,-2,0.027424,0.033284,2.780340,-4.479999,10.592527,40,12
