event_time,effect_count,se_count,counterfactual_mean,effect_percent,se_percent,ci_low_percent,ci_high_percent,corridor_clusters,control_station_clusters
-13,-30.058333,17.269579,1086.358333,-2.766889,1.483840,-6.032799,0.499020,12,83
-12,-64.950000,38.743648,992.125000,-6.546554,5.725154,-19.147533,6.054424,12,83
-11,-69.333333,36.343323,929.058333,-7.462754,3.147346,-14.390016,-0.535491,12,83
-10,-47.508333,35.266357,908.158333,-5.231283,2.847467,-11.498515,1.035949,12,83
-9,-67.800000,56.326630,873.825000,-7.758991,5.102413,-18.989327,3.471346,12,83
-8,-72.641667,74.942636,922.541667,-7.874080,7.988518,-25.456690,9.708531,12,83
-7,-119.933333,96.347608,964.183333,-12.438852,10.568255,-35.699424,10.821721,12,83
-6,-194.116667,82.276145,1126.366667,-17.233879,6.839302,-32.287082,-2.180676,12,83
-5,-96.983333,64.169237,1176.533333,-8.243144,5.261757,-19.824193,3.337906,12,83
-4,10.275000,82.947140,1264.100000,0.812831,6.577663,-13.664507,15.290170,12,83
-3,55.891667,60.944161,1327.483333,4.210348,4.862767,-6.492531,14.913226,12,83
-2,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,12,83
0,-69.358333,62.141260,959.383333,-7.229470,8.917460,-26.856668,12.397727,12,83
1,-11.116667,76.475451,959.291667,-1.158841,8.412027,-19.673587,17.355905,12,83
2,-33.791667,42.778206,955.191667,-3.537684,5.226291,-15.040674,7.965306,12,83
3,-86.933333,51.814565,829.908333,-10.475052,5.315457,-22.174295,1.224190,12,83
4,-135.625000,65.822037,820.950000,-16.520495,7.018123,-31.967279,-1.073710,12,83
5,-200.775000,89.029536,917.650000,-21.879257,10.185189,-44.296707,0.538194,12,83
6,-232.641667,102.300147,1025.991667,-22.674811,10.205671,-45.137342,-0.212279,12,83
7,-204.675000,104.831190,1170.725000,-17.482756,8.563415,-36.330706,1.365194,12,83
8,-149.558333,89.574256,1136.158333,-13.163512,7.175802,-28.957345,2.630322,12,83
9,-75.525000,59.979986,1153.475000,-6.547606,4.792853,-17.096605,4.001393,12,83
10,-28.383333,61.420216,1081.558333,-2.624300,5.966442,-15.756350,10.507750,12,83
11,-67.416667,50.599050,945.266667,-7.132026,7.299902,-23.199002,8.934949,12,83
