first_post_month,event_time,effect_count,se_count,counterfactual_mean,effect_percent,se_percent,ci_low_percent,ci_high_percent,corridor_clusters,control_station_clusters,treated_stations
2024-08,-13,-53.979167,1.713641,1820.604167,-2.964904,1.384656,-20.558630,14.628822,2,48,16
2024-08,-12,-5.541667,5.775311,1847.166667,-0.300009,0.162506,-2.364840,1.764822,2,48,16
2024-08,-11,-83.937500,75.265944,1591.187500,-5.275148,2.004106,-30.739732,20.189436,2,48,16
2024-08,-10,-74.479167,77.124362,1329.229167,-5.603185,2.878041,-42.172169,30.965799,2,48,16
2024-08,-9,-137.416667,127.667551,1016.479167,-13.518887,5.162948,-79.120358,52.082585,2,48,16
2024-08,-8,-169.833333,170.806022,759.958333,-22.347716,9.098017,-137.948983,93.253550,2,48,16
2024-08,-7,-211.145833,216.110892,592.395833,-35.642694,12.688673,-196.867568,125.582180,2,48,16
2024-08,-6,-238.770833,223.623535,766.520833,-31.149947,10.352133,-162.686262,100.386368,2,48,16
2024-08,-5,-139.770833,135.767202,899.645833,-15.536206,6.363437,-96.391339,65.318926,2,48,16
2024-08,-4,-105.333333,101.081113,1074.520833,-9.802819,4.179666,-62.910514,43.304876,2,48,16
2024-08,-3,-75.791667,47.418624,1447.666667,-5.235436,0.640012,-13.367560,2.896687,2,48,16
2024-08,0,40.729167,40.345578,1765.145833,2.307411,1.118927,-11.909901,16.524722,2,48,16
2024-08,1,126.437500,101.357506,1786.562500,7.077138,2.177303,-20.588116,34.742393,2,48,16
2024-08,2,37.708333,8.070695,1501.791667,2.510890,0.751568,-7.038682,12.060462,2,48,16
2024-08,3,-74.708333,99.254282,964.208333,-7.748153,5.898456,-82.695141,67.198835,2,48,16
2024-08,4,-154.708333,169.252952,671.770833,-23.029927,10.338181,-154.388971,108.329116,2,48,16
2024-08,5,-199.187500,198.026849,578.875000,-34.409415,10.860763,-172.408487,103.589658,2,48,16
2024-08,6,-187.062500,185.860263,604.937500,-30.922616,10.182895,-160.308567,98.463335,2,48,16
2024-08,7,-130.958333,127.462230,888.333333,-14.742026,5.861238,-89.216120,59.732068,2,48,16
2024-08,8,-108.562500,103.373864,997.812500,-10.880050,4.429783,-67.165778,45.405678,2,48,16
2024-08,9,-51.791667,66.834621,1221.229167,-4.240946,3.234898,-45.344225,36.862333,2,48,16
2024-08,10,75.541667,27.339282,1521.020833,4.966511,0.744174,-4.489113,14.422135,2,48,16
2024-08,11,31.937500,0.334305,1683.812500,1.896737,0.968676,-10.411454,14.204929,2,48,16
2024-11,-13,10.000000,0.000000,42.000000,23.809524,0.000000,23.809524,23.809524,1,3,1
2024-11,-12,120.666667,0.000000,-85.666667,,,,,1,3,1
2024-11,-11,177.333333,0.000000,-155.333333,,,,,1,3,1
2024-11,-10,236.333333,0.000000,-221.333333,,,,,1,3,1
2024-11,-9,192.333333,0.000000,-166.333333,,,,,1,3,1
2024-11,-8,188.333333,0.000000,-146.333333,,,,,1,3,1
2024-11,-7,141.666667,0.000000,-94.666667,,,,,1,3,1
2024-11,-6,38.333333,0.000000,11.666667,328.571429,0.000000,328.571429,328.571429,1,3,1
2024-11,-5,23.333333,0.000000,33.666667,69.306931,0.000000,69.306931,69.306931,1,3,1
2024-11,-4,61.333333,0.000000,25.666667,238.961039,0.000000,238.961039,238.961039,1,3,1
2024-11,-3,13.333333,0.000000,36.666667,36.363636,0.000000,36.363636,36.363636,1,3,1
2024-11,0,166.333333,0.000000,-133.333333,,,,,1,3,1
2024-11,1,254.333333,0.000000,-217.333333,,,,,1,3,1
2024-11,2,269.333333,0.000000,-250.333333,,,,,1,3,1
2024-11,3,252.666667,0.000000,-234.666667,,,,,1,3,1
2024-11,4,214.333333,0.000000,-182.333333,,,,,1,3,1
2024-11,5,152.666667,0.000000,-135.666667,,,,,1,3,1
2024-11,6,111.333333,0.000000,-71.333333,,,,,1,3,1
2024-11,7,54.333333,0.000000,-24.333333,,,,,1,3,1
2024-11,8,76.666667,0.000000,-29.666667,,,,,1,3,1
2024-11,9,44.333333,0.000000,-7.333333,,,,,1,3,1
2024-11,10,10.333333,0.000000,26.666667,38.750000,0.000000,38.750000,38.750000,1,3,1
2024-11,11,64.000000,0.000000,-46.000000,,,,,1,3,1
2024-12,-13,15.400000,0.000000,1138.400000,1.352776,0.000000,1.352776,1.352776,1,15,5
2024-12,-12,-309.133333,0.000000,835.133333,-37.016045,0.000000,-37.016045,-37.016045,1,15,5
2024-12,-11,-233.133333,0.000000,654.133333,-35.640033,0.000000,-35.640033,-35.640033,1,15,5
2024-12,-10,-146.400000,0.000000,848.600000,-17.251944,0.000000,-17.251944,-17.251944,1,15,5
2024-12,-9,-201.000000,0.000000,1004.600000,-20.007963,0.000000,-20.007963,-20.007963,1,15,5
2024-12,-8,-78.800000,0.000000,1125.800000,-6.999467,0.000000,-6.999467,-6.999467,1,15,5
2024-12,-7,-423.400000,0.000000,1418.400000,-29.850536,0.000000,-29.850536,-29.850536,1,15,5
2024-12,-6,-428.200000,0.000000,1558.000000,-27.483954,0.000000,-27.483954,-27.483954,1,15,5
2024-12,-5,-392.933333,0.000000,1701.333333,-23.095611,0.000000,-23.095611,-23.095611,1,15,5
2024-12,-4,-332.066667,0.000000,1734.066667,-19.149591,0.000000,-19.149591,-19.149591,1,15,5
2024-12,-3,300.266667,0.000000,1921.933333,15.623157,0.000000,15.623157,15.623157,1,15,5
2024-12,0,-406.600000,0.000000,807.200000,-50.371655,0.000000,-50.371655,-50.371655,1,15,5
2024-12,1,-339.066667,0.000000,707.666667,-47.913330,0.000000,-47.913330,-47.913330,1,15,5
2024-12,2,-264.466667,0.000000,720.866667,-36.687321,0.000000,-36.687321,-36.687321,1,15,5
2024-12,3,-350.066667,0.000000,1018.866667,-34.358437,0.000000,-34.358437,-34.358437,1,15,5
2024-12,4,-325.333333,0.000000,1183.333333,-27.492958,0.000000,-27.492958,-27.492958,1,15,5
2024-12,5,-576.933333,0.000000,1347.133333,-42.826743,0.000000,-42.826743,-42.826743,1,15,5
2024-12,6,-777.333333,0.000000,1598.333333,-48.633994,0.000000,-48.633994,-48.633994,1,15,5
2024-12,7,-838.200000,0.000000,1796.800000,-46.649599,0.000000,-46.649599,-46.649599,1,15,5
2024-12,8,-697.133333,0.000000,1751.333333,-39.805862,0.000000,-39.805862,-39.805862,1,15,5
2024-12,9,-422.133333,0.000000,1670.533333,-25.269375,0.000000,-25.269375,-25.269375,1,15,5
2024-12,10,-381.066667,0.000000,1570.466667,-24.264550,0.000000,-24.264550,-24.264550,1,15,5
2024-12,11,-339.133333,0.000000,1023.133333,-33.146543,0.000000,-33.146543,-33.146543,1,15,5
2025-01,-13,-23.648148,26.324455,477.259259,-4.954990,5.811646,-18.697350,8.787370,8,54,18
2025-01,-12,-60.240741,19.223318,335.574074,-17.951548,5.079957,-29.963737,-5.939359,8,54,18
2025-01,-11,-24.555556,19.247301,477.111111,-5.146716,4.239755,-15.172144,4.878711,8,54,18
2025-01,-10,-11.833333,26.997245,613.166667,-1.929872,4.632293,-12.883505,9.023760,8,54,18
2025-01,-9,16.629630,7.445557,768.481481,2.163960,0.963768,-0.114989,4.442908,8,54,18
2025-01,-8,0.962963,58.396279,1069.981481,0.089998,5.443320,-12.781409,12.961405,8,54,18
2025-01,-7,30.907407,48.001653,1227.314815,2.518295,3.469850,-5.686596,10.723186,8,54,18
2025-01,-6,-102.314815,57.911370,1388.259259,-7.370008,3.026429,-14.526376,-0.213640,8,54,18
2025-01,-5,16.574074,23.213501,1340.370370,1.236529,1.710800,-2.808869,5.281928,8,54,18
2025-01,-4,205.296296,42.588419,1370.870370,14.975617,3.907622,5.735560,24.215674,8,54,18
2025-01,-3,107.425926,31.880914,1127.240741,9.529990,1.323711,6.399911,12.660068,8,54,18
2025-01,0,-86.629630,26.937278,346.129630,-25.028088,6.965458,-41.498778,-8.557399,8,54,18
2025-01,1,-57.037037,26.966671,359.203704,-15.878744,7.272005,-33.074304,1.316816,8,54,18
2025-01,2,-50.111111,41.694138,601.388889,-8.332564,7.647782,-26.416694,9.751567,8,54,18
2025-01,3,-43.574074,48.088095,717.185185,-6.075707,7.271975,-23.271196,11.119781,8,54,18
2025-01,4,-85.407407,59.760094,908.629630,-9.399584,7.841044,-27.940706,9.141537,8,54,18
2025-01,5,-117.333333,90.037839,1158.000000,-10.132412,9.334973,-32.206116,11.941292,8,54,18
2025-01,6,-140.962963,95.088497,1302.240741,-10.824647,8.933099,-31.948070,10.298776,8,54,18
2025-01,7,-108.611111,96.081912,1314.222222,-8.264288,8.521440,-28.414291,11.885715,8,54,18
2025-01,8,-46.462963,76.374094,1153.018519,-4.029681,7.017979,-20.624564,12.565203,8,54,18
2025-01,9,-7.000000,55.529437,1014.111111,-0.690260,5.545768,-13.803918,12.423399,8,54,18
2025-01,10,-24.944444,34.319737,613.722222,-4.064452,5.890567,-17.993430,9.864526,8,54,18
2025-01,11,-87.555556,40.919784,322.222222,-27.172414,12.278042,-56.205370,1.860542,8,54,18
