st_name,mi_ctrline,oneway_dir,displayrou,contraflow,br_ow_dir,f_street,br_oneway,t_street,street,length_miles,distance_to_candidate_inventory_m,pseudo_corridor_id,centroid_x,centroid_y,nearby_station_count_raw,matched_real_corridors,best_match_distance
26TH,0.502122320463,-,Buffered Bike Lane,,-,S KOSTNER AVE,2W,S PULASKI RD,26TH ST,0.418588,1346.537625,PSEUDO_019,446670.327572,4632807.939980,3,10,0.805254
63RD,0.503297323173,-,Marked Shared Lane,,-,S OAK PARK AVE,2W,S NARRAGANSETT AVE,63RD ST,0.939391,1613.732281,PSEUDO_023,450508.961263,4625579.046922,9,4,1.958755
76TH,0.498392075865,-,Bike Lane,,-,S STATE ST,2W,S MARTIN LUTHER KING DR,76TH ST,0.498195,1298.429152,PSEUDO_025,448466.193634,4622926.140312,2,1,2.131530
ALDINE,0.233282604857,E,Neighborhood Greenway,,E,N BROADWAY,1W,N LAKE SHORE DR,ALDINE AVE,0.233194,2795.384980,PSEUDO_033,446766.489102,4643563.773692,5,8,1.198670
ALDINE,0.233282604857,E,Neighborhood Greenway,,E,N BROADWAY,1W,N LAKE SHORE DR,ALDINE AVE,0.395974,2485.073174,PSEUDO_034,446260.748356,4643518.181859,8,9,1.148719
AUSTIN,0.73045014105,-,Bike Lane,,-,W GRAND AVE,2W,W DIVERSEY AVE,AUSTIN AVE,0.730227,3653.939788,PSEUDO_039,435677.052580,4641833.486893,7,2,1.658029
AUSTIN,0.73045014105,-,Bike Lane,,-,W GRAND AVE,2W,W DIVERSEY AVE,AUSTIN AVE,1.009886,3388.418042,PSEUDO_040,435653.358364,4643233.505753,5,1,1.477701
BIRCHWOOD,0.238291860981,E,Neighborhood Greenway,Y,-,N ASHLAND BLVD,2W,N SHERIDAN RD,BIRCHWOOD AVE,0.238203,1414.122197,PSEUDO_050,444690.426613,4652008.571984,4,5,2.170240
BRYN MAWR,0.1464251548,-,Bike Lane,,-,N DAMEN AVE,2W,N WOLCOTT AVE,BRYN MAWR AVE,0.313143,1479.375790,PSEUDO_055,441025.316269,4648136.386684,6,4,1.562105
BRYN MAWR,0.1464251548,-,Bike Lane,,-,N DAMEN AVE,2W,N WOLCOTT AVE,BRYN MAWR AVE,0.154921,1571.811476,PSEUDO_056,445849.455559,4648189.768552,3,1,1.433623
CANNON,0.581234231883,-,Marked Shared Lane,,-,W FULLERTON PKWY,2W,W DIVERSEY PKWY,CANNON DR,0.581012,2717.320540,PSEUDO_057,447258.278248,4642143.283748,7,5,1.308043
CENTRAL,0.374813502875,-,Marked Shared Lane,,-,W SUNNYSIDE AVE,2W,W LAWRENCE AVE,CENTRAL AVE,0.374681,3175.215359,PSEUDO_058,436412.027233,4646181.655946,4,1,1.378887
CHICAGO,1.00841901674,-,Bike Lane,,-,N WESTERN AVE,2W,N ASHLAND AVE,CHICAGO AVE,0.501886,3696.621179,PSEUDO_061,436103.999982,4638380.125661,3,2,1.301171
CULLOM,0.693665630891,-,Neighborhood Greenway,,-,N HARDING AVE,2W,N KIMBALL AVE,CULLOM AVE,0.693414,1506.872257,PSEUDO_064,440348.716759,4645498.896018,4,2,2.089483
DICKENS,0.624289209761,W,Neighborhood Greenway,Y,-,N MAGNOLIA AVE,2W,N BURLING ST,DICKENS AVE,0.296112,1935.210940,PSEUDO_065,447060.884277,4641106.743397,4,9,1.323751
DIVERSEY,1.26604612377,-,Bike Lane,,-,N KOSTNER AVE,2W,N KIMBALL AVE,DIVERSEY AVE,0.939224,2979.994297,PSEUDO_066,435616.820601,4642420.525235,4,2,1.641487
DIVERSEY,1.26604612377,-,Bike Lane,,-,N KOSTNER AVE,2W,N KIMBALL AVE,DIVERSEY AVE,0.568920,2076.676211,PSEUDO_067,436830.324785,4642431.844802,5,2,1.325826
DIVERSEY,1.26604612377,-,Bike Lane,,-,N KOSTNER AVE,2W,N KIMBALL AVE,DIVERSEY AVE,0.506284,1287.835766,PSEUDO_068,437695.478114,4642439.308843,3,2,1.248341
EAST LAKE,0.317287743401,S,Neighborhood Greenway,Y,-,W BIRCHWOOD AVE,2W,N SHERIDAN RD,EAST LAKE TER,0.317172,1414.657557,PSEUDO_069,444946.708641,4652261.533509,1,5,1.763728
GRANVILLE,1.00299001103,-,Neighborhood Greenway,Y,-,N KEDZIE AVE,2W,N WESTERN AVE,GRANVILLE AVE,1.002625,1731.661698,PSEUDO_074,442063.712091,4649342.823170,3,5,1.498812
GRANVILLE,1.00299001103,-,Neighborhood Greenway,Y,-,N KEDZIE AVE,2W,N WESTERN AVE,GRANVILLE AVE,0.247665,1215.886801,PSEUDO_076,444895.781279,4649378.393115,2,5,1.297913
GRANVILLE,1.00299001103,-,Neighborhood Greenway,Y,-,N KEDZIE AVE,2W,N WESTERN AVE,GRANVILLE AVE,0.177752,1220.715436,PSEUDO_077,445445.415834,4649382.543290,1,2,1.158672
GRANVILLE,1.00299001103,-,Neighborhood Greenway,Y,-,N KEDZIE AVE,2W,N WESTERN AVE,GRANVILLE AVE,0.677675,1216.560431,PSEUDO_078,443516.189467,4649359.370179,2,6,1.126474
HOWARD,0.305192174713,-,Buffered Bike Lane,,-,N WINCHESTER AVE,2W,N PAULINA ST,HOWARD ST,0.305078,1559.998039,PSEUDO_082,444026.535995,4652151.317627,3,6,1.878511
HOWARD,0.305192174713,-,Buffered Bike Lane,,-,N WINCHESTER AVE,2W,N PAULINA ST,HOWARD ST,0.288950,1600.760475,PSEUDO_083,443548.749125,4652160.735626,2,1,1.772718
JERSEY,0.695889798579,-,Bike Lane,,-,W BRYN MAWR AVE,2W,N LINCOLN AVE,JERSEY AVE,0.696951,1479.375790,PSEUDO_084,441164.751594,4648687.500553,9,4,1.811524
JONQUIL,0.249211846396,-,Neighborhood Greenway,,-,N PAULINA ST,2W,N GREENVIEW AVE,JONQUIL TER,0.249119,1745.261432,PSEUDO_085,444476.496613,4652341.773241,2,1,1.803742
LEAVITT,0.281407413496,S,Neighborhood Greenway,Y,-,N MILWAUKEE AVE,2W,W ARMITAGE AVE,LEAVITT ST,0.613114,1210.853410,PSEUDO_095,443399.075526,4642904.528027,2,10,0.631926
LEAVITT,0.281407413496,S,Neighborhood Greenway,Y,-,N MILWAUKEE AVE,2W,W ARMITAGE AVE,LEAVITT ST,0.188537,1278.141580,PSEUDO_096,443362.576259,4643538.233661,1,2,0.990895
LONG,0.440966497359,-,Neighborhood Greenway,Y,-,W BELMONT AVE,2W,W EDDY ST,LONG AVE,0.440811,2174.415038,PSEUDO_097,436860.615935,4643597.482661,3,2,1.441609
LONG,0.440966497359,-,Neighborhood Greenway,Y,-,W BELMONT AVE,2W,W EDDY ST,LONG AVE,0.440846,2176.043487,PSEUDO_098,436846.228771,4644510.063200,2,1,1.250609
MARQUETTE,0.495170723593,-,Buffered Bike Lane,,-,S CENTRAL PARK AVE,2W,S KEDZIE AVE,MARQUETTE RD,0.251948,2880.030952,PSEUDO_102,442183.283262,4624671.506918,1,1,1.790818
MARQUETTE,0.495170723593,-,Buffered Bike Lane,,-,S CENTRAL PARK AVE,2W,S KEDZIE AVE,MARQUETTE RD,0.504274,2513.799672,PSEUDO_103,442791.732316,4624679.137967,2,1,1.763130
OAKWOOD,0.521985922417,-,Bike Lane,,-,S DR MARTIN LUTHER KING JR DR,2W,S COTTAGE GROVE AVE,OAKWOOD BLVD,0.179431,1222.278955,PSEUDO_118,449729.175107,4630328.113353,2,1,1.459189
OAKWOOD,0.521985922417,-,Bike Lane,,-,S DR MARTIN LUTHER KING JR DR,2W,S COTTAGE GROVE AVE,OAKWOOD BLVD,0.265124,1432.605495,PSEUDO_119,450009.773383,4630500.163510,1,1,1.599802
SCHOOL,0.916737454152,E,Neighborhood Greenway,,E,N LINCOLN AVE,1W,N CLARK ST,SCHOOL ST,0.916392,1583.904048,PSEUDO_123,445204.798418,4643506.450100,12,4,1.922758
SCHOOL,0.916737454152,E,Neighborhood Greenway,,E,N LINCOLN AVE,1W,N CLARK ST,SCHOOL ST,0.206426,1466.301987,PSEUDO_124,444301.367019,4643495.804353,3,7,1.754432
SOUTH SHORE,0.251412634336,-,Bike Lane,,-,E 81ST ST,2W,E 79TH ST,SOUTH SHORE DR,1.245086,2342.429437,PSEUDO_126,453818.754416,4623177.486232,5,1,2.974658
