effect_count,se_count,counterfactual_mean,effect_percent,se_percent,ci_low_percent,ci_high_percent,corridor_clusters,control_station_clusters,treated_stations,treated_corridors,control_stations,replication,attempt,drawn_corridors
35.220165,15.622080,378.752058,9.299003,2.383905,4.052063,14.545943,12,74,27,12,74,1,6,PSEUDO_019;PSEUDO_023;PSEUDO_033;PSEUDO_034;PSEUDO_050;PSEUDO_064;PSEUDO_065;PSEUDO_067;PSEUDO_068;PSEUDO_077;PSEUDO_078;PSEUDO_129
17.626852,13.089955,436.134259,4.041611,3.033082,-2.634157,10.717380,12,77,30,12,77,2,11,PSEUDO_019;PSEUDO_023;PSEUDO_034;PSEUDO_050;PSEUDO_061;PSEUDO_065;PSEUDO_076;PSEUDO_078;PSEUDO_082;PSEUDO_084;PSEUDO_123;PSEUDO_124
59.147849,57.596931,521.145161,11.349592,11.624446,-14.235642,36.934826,12,83,31,12,83,3,13,PSEUDO_019;PSEUDO_023;PSEUDO_033;PSEUDO_034;PSEUDO_040;PSEUDO_057;PSEUDO_067;PSEUDO_069;PSEUDO_082;PSEUDO_095;PSEUDO_123;PSEUDO_124
-28.691358,94.753137,743.382716,-3.859568,11.779534,-29.786146,22.067011,12,64,27,12,64,4,16,PSEUDO_033;PSEUDO_057;PSEUDO_065;PSEUDO_068;PSEUDO_069;PSEUDO_074;PSEUDO_077;PSEUDO_084;PSEUDO_096;PSEUDO_097;PSEUDO_123;PSEUDO_124
43.473251,20.747826,450.850823,9.642491,2.464464,4.218243,15.066740,12,66,27,12,66,5,21,PSEUDO_023;PSEUDO_057;PSEUDO_065;PSEUDO_074;PSEUDO_076;PSEUDO_078;PSEUDO_082;PSEUDO_083;PSEUDO_103;PSEUDO_124;PSEUDO_129;PSEUDO_131
41.290230,47.842046,482.635057,8.555166,9.305118,-11.925261,29.035593,12,79,29,12,79,6,23,PSEUDO_023;PSEUDO_033;PSEUDO_034;PSEUDO_040;PSEUDO_057;PSEUDO_058;PSEUDO_064;PSEUDO_074;PSEUDO_076;PSEUDO_083;PSEUDO_095;PSEUDO_124
-68.338889,87.052546,753.125000,-9.074043,9.289702,-29.520540,11.372453,12,75,30,12,75,7,24,PSEUDO_019;PSEUDO_034;PSEUDO_057;PSEUDO_061;PSEUDO_065;PSEUDO_068;PSEUDO_076;PSEUDO_078;PSEUDO_082;PSEUDO_123;PSEUDO_129;PSEUDO_131
-85.127315,53.639254,711.856481,-11.958494,4.157742,-21.109623,-2.807365,12,65,24,12,65,8,26,PSEUDO_019;PSEUDO_033;PSEUDO_034;PSEUDO_055;PSEUDO_057;PSEUDO_061;PSEUDO_074;PSEUDO_076;PSEUDO_084;PSEUDO_095;PSEUDO_129;PSEUDO_131
22.955939,19.282016,519.210728,4.421314,3.254321,-2.741398,11.584027,12,73,29,12,73,9,30,PSEUDO_019;PSEUDO_033;PSEUDO_034;PSEUDO_050;PSEUDO_065;PSEUDO_067;PSEUDO_076;PSEUDO_078;PSEUDO_084;PSEUDO_096;PSEUDO_123;PSEUDO_129
-64.629630,95.335556,739.641975,-8.737961,10.797229,-32.502502,15.026579,12,66,27,12,66,10,31,PSEUDO_019;PSEUDO_033;PSEUDO_034;PSEUDO_057;PSEUDO_058;PSEUDO_064;PSEUDO_065;PSEUDO_068;PSEUDO_074;PSEUDO_076;PSEUDO_124;PSEUDO_129
