omitted_corridor,effect_count,se_count,counterfactual_mean,effect_percent,se_percent,ci_low_percent,ci_high_percent,corridor_clusters,control_station_clusters,change_from_main_pct_points,sign_reversal,influential,treated_stations_remaining
16TH_CENTRAL_PARK_KEDZIE_2024,-110.746439,61.680799,1021.564815,-10.840863,6.004274,-24.219218,2.537493,11,80,-0.002382,False,False,39
CANAL_ROOSEVELT_TAYLOR_2024,-107.376781,61.751644,1007.103276,-10.661943,6.065630,-24.177009,2.853122,11,80,0.176538,False,False,39
CLARK_GRAND_OAK_2024,-112.560345,82.179124,752.022989,-14.967673,9.761058,-36.716666,6.781319,11,66,-4.129193,False,False,29
FRANKLIN_CENTRAL_PARK_SACRAMENTO_2024,-114.321937,61.225830,1024.631766,-11.157368,6.013452,-24.556174,2.241438,11,82,-0.318887,False,False,39
GRAND_CHICAGO_DAMEN_2024,-130.902381,63.883039,1113.742857,-11.753376,6.205816,-25.580795,2.074044,11,77,-0.914895,False,False,35
HALSTED_ROOSEVELT_VAN_BUREN_2024,-55.344444,35.526915,957.723016,-5.778753,3.248579,-13.017037,1.459532,11,80,5.059728,False,True,35
HARRISON_ASHLAND_HALSTED_2024,-99.525585,62.283386,994.819444,-10.004387,6.129526,-23.661822,3.653048,11,80,0.834094,False,False,38
JACKSON_OAKLEY_OGDEN_2024,-112.142544,63.245003,1035.699561,-10.827710,6.072785,-24.358719,2.703299,11,79,0.010771,False,False,38
MILWAUKEE_CALIFORNIA_LOGAN_2024,-117.842105,62.583436,1021.692982,-11.534004,6.226222,-25.406891,2.338884,11,80,-0.695523,False,False,38
PAULINA_CONGRESS_WARREN_2024,-108.634615,61.727624,1002.598291,-10.835308,6.115949,-24.462492,2.791876,11,82,0.003173,False,False,39
TAYLOR_MORGAN_CANAL_2024,-96.692192,63.610159,1018.104354,-9.497277,6.014777,-22.899036,3.904482,11,79,1.341204,False,False,37
WABASH_ROOSEVELT_BALBOA_2024,-130.254902,66.799009,947.830882,-13.742420,7.225653,-29.842179,2.357339,11,75,-2.903939,False,False,34
